Sentiment,Text
έκπληξη,"['τα', 'νέος']"
έκπληξη,"['2', 'μέρα', 'του', 'μήνας', 'μένω', 'έχω', '400', 'mb', 'αριστερά', 'downloads', 'onpeak']"
έκπληξη,"['είσαι', 'μπρις', 'μπορώ', 'ακούσω', 'βροντή']"
έκπληξη,"['vs', 'fatty', 'winner', 'λιπαρά', 'τρόφιμα', 'όχι', 'η', 'άρρωσ', 'χτύπησε']"
έκπληξη,"['ένα', 'όνειρο', 'μια', 'όμορφη', 'παραλία', 'δεν', 'υπήρχε', 'παραλία', 'ξύπνησα']"
έκπληξη,"['ναι', ',', 'έρθω', 'ο', 'γκαράζ', 'ρωτώ']"
έκπληξη,"['ολοκληρώνομαι', 'ερωτηματολόγιο', 'facebook', 'τη', 'στιγμός', 'πρωί', ',', 'ειδικά', 'παρασκευή', 'πρωί']"
έκπληξη,"['wheelock', '250', 'μονάδα', 'ενισχυτή', 'τους', 'τουρίστα', 'από', 'σήμερα']"
έκπληξη,"['λοξοτομώ', 'μυστικό']"
έκπληξη,"['λυπούμαι', 'δεν', 'σκέφτομαι', 'θα', 'μείνω', 'σε', 'σύγκριση', 'αυτό', 'έμοιαζο', 'μοιάζω']"
έκπληξη,"['σκέφτομαι', 'πολύ', 'im', 'δουλειά']"
έκπληξη,"['έτος', 'χάσμα', 'γίνομαι', 'γρήγορο']"
έκπληξη,"['δεν', 'αγκαλιάζω']"
έκπληξη,"['φίλε', 'είδο', 'sf', 'φωτογραφία', 'μοιάζω', 'μίνι', 'εκδρομή', 'ήταν', 'κλωτσιά', 'κώλο', 'δείτε', 'οποιοδήποτε', 'ήλιο', ',', 'είμαι', 'tho']"
έκπληξη,"['έπρεπε', 'είναι', 'bk']"
έκπληξη,"['αχ', 'νύχτα', 'νύχτα']"
έκπληξη,"['αυτοί', 'κοιμούνται', 'ζω', 'ανατολικός', 'ακτή']"
έκπληξη,"['εγώ', 'τιτίβισμα', 'αυτή', 'μεγάλη', 'θλίψη', 'σήμερα']"
έκπληξη,"['πραγματικά', 'υπνηλία', 'βαρεθώ', 'είναι', 'η', 'σωστός', 'λέξη', 'δεν', 'πολύ', 'δουλειά']"
έκπληξη,"['we', 'αυτό', 'έπρεπε', 'κάνω', 'από']"
έκπληξη,"['πήρε', 'σπίτι', 'τη', 'δουλειά', '945', 'τελείωσε', 'τελείως', 'καθαρισμός', 'πρέπει', 'φάω', 'δείπνος', 'dont', 'ξέρω', 'θέλω', 'oh', 'δεν', 'να', 'τρώω']"
έκπληξη,"['εξαιρετικά', 'βαθύ']"
έκπληξη,"['ρευστοποίηση', 'τελή', ',', 'δεν', 'ολοκληρώνω', 'πώληση', 'είναι', 'χάλι']"
έκπληξη,"['επίσης', 'θαυμάζω', 'θα', 'το', 'δείξω']"
έκπληξη,"['μπορώ', 'χρησιμοποιήσω', 'βατόμουρο', 'σήμερα', 'είναι', 'χάλι']"
έκπληξη,"['λοξοτομώ', 'ποτό']"
έκπληξη,"['compton', 'wii', 'δεν', 'να', 'το', 'έχω']"
έκπληξη,"['soooooooo', 'μου', 'λείπω', 'η', 'ηλικία', 'much']"
