sentiment,Content
sadness,"['Layin', 'n', 'bed', 'with', 'a', 'headache', 'ughhhh', '...', 'waitin', 'on', 'your', 'call', '...']"
sadness,"['Funeral', 'ceremony', '...', 'gloomy', 'friday', '...']"
sadness,"['I', 'should', 'be', 'sleep', ',', 'but', 'im', 'not', '!', 'thinking', 'about', 'an', 'old', 'friend', 'who', 'I', 'want', '.', 'but', 'he', ""'s"", 'married', 'now', '.', 'damn', ',', '&', 'amp', ';', 'he', 'wants', 'me', '2', '!', 'scandalous', '!']"
sadness,"['Charlene', 'my', 'love', '.', 'I', 'miss', 'you']"
sadness,"['I', ""'m"", 'sorry', 'at', 'least', 'it', ""'s"", 'Friday', '?']"
sadness,"['Ugh', '!', 'I', 'have', 'to', 'beat', 'this', 'stupid', 'song', 'to', 'get', 'to', 'the', 'next', 'rude', '!']"
sadness,"['if', 'u', 'watch', 'the', 'hills', 'in', 'london', 'u', 'will', 'realise', 'what', 'tourture', 'it', 'is', 'because', 'were', 'weeks', 'and', 'weeks', 'late', 'i', 'just', 'watch', 'itonlinelol']"
surprise,"['Got', 'the', 'news']"
sadness,"['The', 'storm', 'is', 'here', 'and', 'the', 'electricity', 'is', 'gone']"
sadness,"['So', 'sleepy', 'again', 'and', 'it', ""'s"", 'not', 'even', 'that', 'late', '.', 'I', 'fail', 'once', 'again', '.']"
sadness,"['How', 'are', 'YOU', 'convinced', 'that', 'I', 'have', 'always', 'wanted', 'you', '?', 'What', 'signals', 'did', 'I', 'give', 'off', '...', 'damn', 'I', 'think', 'I', 'just', 'lost', 'another', 'friend']"
sadness,"['so', 'tired', 'and', 'i', 'think', 'i', ""'m"", 'definitely', 'going', 'to', 'get', 'an', 'ear', 'infection', '.', 'going', 'to', 'bed', '&', 'quot', ';', 'early', '&', 'quot', ';', 'for', 'once', '.']"
sadness,"['i', ""'m"", 'sorry', 'people', 'are', 'so', 'rude', 'to', 'you', ',', 'isaac', ',', 'they', 'should', 'get', 'some', 'manners', 'and', 'know', 'better', 'than', 'to', 'be', 'so', 'lewd', '!']"
sadness,"['Fudge', '...', '.', 'Just', 'BS', ""'d"", 'that', 'whole', 'paper', '...', '.', 'So', 'tired', '...', '.', 'Ugh', 'I', 'hate', 'school', '...', '..', 'time', 'to', 'sleep', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']"
sadness,"['yeah', ':', 'S', 'i', 'feel', 'all', 'funny', 'cause', 'i', 'have', ""n't"", 'slept', 'enough', 'i', 'woke', 'my', 'mum', 'up', 'cause', 'i', 'was', 'singing', 'she', ""'s"", 'not', 'impressed', ':', 'S', 'you', '?']"
sadness,"['I', ""'m"", 'having', 'a', 'problem', 'with', 'my', 'photo', 'here', 'in', 'twitter', 'amf', '!', '!', '!', '...', 'ca', ""n't"", 'see', 'my', 'face', '!']"
sadness,"['Aww', 'Onward', 'and', 'upwards', 'now', ',', 'yay', '!', 'Still', 'sad', 'to', 'leave', 'I', 'bet', '.']"
sadness,"['diesel', 'yaris', '...', '70mpg', 'so', 'sad', 'its', 'not', 'available', 'in', 'the', 'US', '.', 'That', ""'d"", 'be', 'awesome', '.']"
sadness,"['I', 'want', 'to', 'buy', 'this', 'great', 'album', 'but', 'unfortunately', 'i', 'dont', 'hav', 'enuff', 'funds', 'its', '&', 'quot', ';', 'long', 'time', 'noisy', '&', 'quot', ';']"
sadness,"['in', 'all', 'honesty', '...', 'pain', 'blech', '.']"
sadness,"['Ok', '...', 'the', 'passengers', '...', 'no', 'one', 'is', 'alive', '...', 'they', ""'re"", 'all', 'dead', '...', 'you', 'just', 'do', ""n't"", 'know', 'it', 'til', 'the', 'end', '...', 'then', 'you', 'cry', '...']"
sadness,"['i', 'fell', 'asleep', 'on', 'the', 'beach', 'and', 'did', ""n't"", 'put', 'on', 'enough', 'sunscreen', 'lol']"
sadness,"['ohh', 'thursday', 'i', 'have', 'exams..', 'all', 'day', 'what', 'about', 'wednesday', '?']"
sadness,"['i', 'was', 'just', 'thinking', 'about', 'how', 'excited', 'i', 'am', 'for', 'you', 'guys', 'to', 'move', ',', 'but', 'then', 'i', 'realized', 'how', 'sad', 'i', 'am', 'to', 'see', 'you', 'go', '.']"
sadness,"['I', 'love', 'those', ""'it'sakey"", ""'"", 'USB', 'sticks', '.', 'We', 'only', 'have', 'the', '4GB', 'in', 'Australia']"
sadness,"['hiii', 'im', 'on', 'my', 'ipod', '...', 'i', 'cant', 'fall', 'asleep']"
sadness,"['dont', 'wan', 'na', 'work', '11-830', 'tomorrow', 'but', 'i', 'get', 'paid']"
sadness,"['feels', 'sad', 'coz', 'i', 'wasnt', 'able', 'to', 'play', 'with', 'the', 'guys', '!', '!', '!', 'http', ':', '//plurk.com/p/wxiux']"
sadness,"['Darn', 'these', 'allergies', '!', 'I', 'do', ""n't"", 'like', 'this', 'time', 'of', 'year', 'because', 'of', 'this', '!', 'I', 'never', 'used', 'to', 'have', 'this', 'problem', 'either']"
sadness,"['i', 'wanted', 'to', 'come', 'to', 'BZ', 'this', 'summer', ':', '/', 'not', 'so', 'sure', 'anymore', '...', 'a', 'teacher', ""'s"", 'life', 'in', 'the', 'summer', 'SUCKS']"
sadness,"['I', 'wish', 'she', 'knew', 'what', 'she', 'puts', 'me', 'through..She', 'stole', 'my', 'heart', ',', 'never', 'gave', 'it', 'back..and', 'occasionally', 'she', 'likes', 'to', 'be', 'like', 'look', 'what', 'I', 'have', '!']"
sadness,"['early', 'happy', 'day', 'of', 'birth', 'in', 'case', 'I', 'do', ""n't"", 'make', 'it', '!', 'Very', 'tired', 'from', 'therapy', 'today', 'n', 'just', 'taking', 'my', 'medicine', '!', 'misshu', '!', 'Love', 'ya', '!']"
sadness,"['Allergies', 'suck', 'ducks', 'nuts', '.', '&', 'lt', ';', '=====8']"
sadness,"['wonders', 'why', 'her', 'Karma', 'points', 'turned', 'into', '0.00.', 'http', ':', '//plurk.com/p/wxj54']"
sadness,"['Is', 'miserable', 'i', 'feel', 'like', 'im', 'gona', 'cry', 'sux', '!']"
sadness,"['*sigh*', 'I', ""'m"", 'going', 'to', 'bed', '...', 'I', 'just', 'do', ""n't"", 'feel', 'right', 'anymore', '...']"
sadness,"['Now', 'I', 'am', 'depressed', 'after', 'watching', 'so', 'you', 'think', 'you', 'can', 'dance']"
sadness,"['Just', 'cross', ""'cause"", 'I', ""'m"", 'stuck', 'twiddling', 'my', 'thumbs', 'now', ',', 'ugh']"
sadness,"['Last', 'day', 'working', 'for', 'the', 'Uni', 'today', ',', 'sad', 'times']"
sadness,"['is', 'still', 'missing', 'her', 'husband', '.', 'I', 'really', 'want', 'him', 'home', '.']"
sadness,"['I', 'miss', 'my', 'puppy']"
surprise,"['2', 'days', 'of', 'this', 'month', 'left', ',', 'and', 'I', 'only', 'have', '400MB', 'left', 'on', 'my', 'onpeak', 'downloads', '.']"
sadness,"['I', ""'ve"", 'given', 'up', 'on', 'pizza', '-', 'kids', 'would', 'never', 'let', 'me', 'have', 'my', 'fav', '(', 'the', 'hot', 'ones', ')']"
sadness,"['yearling', 'in', 'pet', 'home', 'died', '...', 'very', 'sad', 'for', 'their', 'whole', 'family']"
sadness,"['We', 'hate', 'change', ',', 'so', 'of', 'course', '.', 'We', ""'re"", 'fans', 'for', 'life', '.', '&', 'lt', ';', '3', 'Oh', 'and', 'if', 'we', 'have', ""n't"", 'met', 'Rob', 'by', 'then', 'something', 'went', 'horribly', 'wrong', '.']"
sadness,"['well', 'fuck-', 'this', 'new', 'pain', 'med', 'has', 'an', 'odd', 'warning', 'that', 'actually', 'applies', 'to', 'me', '.', 'i', 'ca', ""n't"", 'take', 'this', '.', '-chan', 'is', 'displeased', '.']"
sadness,"['just', 'uploaded', 'my', 'new', 'blog', '...', 'a', 'painful', 'story', 'about', 'an', '80s', 'year', 'old', 'man', 'who', 'cried', 'because', 'he', 'wanted', 'to', 'die', '...', 'very', 'sad']"
sadness,"['I', 'just', 'saw', 'pics', 'from', 'this', 'past', 'Thanksgiving', 'and', 'am', 'sad', 'because', 'Grandma', 'was', 'in', 'them', '.']"
sadness,"['Took', 'a', 'shift', 'tomorrow', '.', 'I', 'do', ""n't"", 'really', 'feel', 'like', 'working', 'right', 'now', '.']"
sadness,"['but', 'now', 'i', 'have', 'no', 'money', 'for', 'a', 'phone']"
surprise,"['where', 'are', 'you', '?', 'In', 'Bris', '?', 'I', 'ca', ""n't"", 'hear', 'any', 'thunder']"
surprise,"['bec', 'vs', 'fat', 'food', '--', '-', 'winner', '=', 'fat', 'food', 'but', 'not', 'this', 'weeknend', ',', 'ill', 'beat', 'it', '!']"
sadness,"['Too', 'bad', 'the', 'Red', 'Devils..', 'disappointing', 'to', 'say', 'the', 'least']"
surprise,"['I', 'had', 'a', 'dream', 'about', 'a', 'pretty', 'pretty', 'beach', 'and', 'there', 'was', 'no', 'beach', 'when', 'I', 'woke', 'up']"
sadness,"['Have', 'a', '3ware', '9650SE', ',', 'not', 'fast', 'enough', 'for', '3x', 'X25-M', 'SSD', 'RAID5', '.', '800Mhz', 'IOP', 'on', 'the', 'HPT', '.', 'Might', 'try', 'an', 'Adaptec', '5405', '(', '1.2Ghz', ')', '.']"
surprise,"['when', 'da', 'heck', 'will', 'the', 'garage', 'man', 'get', 'here', 'I', 'ask', 'you..', 'WHEN..']"
sadness,"['daaammmnnnnn', 'I', 'do', 'wish', 'I', 'was', 'there', '.']"
sadness,"['I', 'played', 'up', 'until', 'the', 'latter', 'parts', 'of', 'the', 'voodoo', 'village', 'part', 'co-op', 'until', 'I', 'lost', 'my', 'usual', 'partner']"
sadness,"['is', 'a', 'bad', 'friend']"
sadness,"['No', 'internet', 'last', 'night', ';', 'ER', 'was', 'brill', ',', 'there', 'was', 'a', 'massive', 'explosion', 'at', 'the', 'end', 'of', 'a', 'nearby', 'gas', 'works', 'ER', 'on', 'standby']"
sadness,"['-', 'Still', 'a', 'pity', 'it', 'comes', 'with', 'no', 'lamb', 'though']"
sadness,"['I', ""'m"", 'sorry', 'to', 'hear', 'that', '.', 'Here', 'is', 'my', 'optimist', ':', 'Things', 'will', 'get', 'better', '.', 'For', 'all', 'of', 'us', '.']"
surprise,"['Why', 'am', 'I', 'completing', 'facebook', 'quizzes', 'at', 'this', 'time', 'of', 'the', 'morning', '...', 'especially', 'a', 'friday', 'morning']"
sadness,"['Had', 'to', 'cancel', 'wow', 'for', 'now']"
sadness,"['But', 'yeah', '...', 'I', ""'m"", 'sad', 'about', 'my', '&', 'quot', ';', 'Ravenclaw', '&', 'quot', ';', 'account', '.', 'I', 'love', 'that', 'account', 'to', 'bits', '.']"
sadness,"['Up', 'late', 'with', 'nothin', '2', 'do', '...', '..']"
sadness,"['sometimes', 'i', 'wish', 'things', 'could', 'go', 'back', 'to', 'the', 'way', 'they', 'were', 'the', 'beginning', 'of', 'last', 'summer']"
sadness,"['I', 'feel', 'the', 'same', 'way', ',', 'but', 'I', 'guess', 'no', 'matter', 'where', 'you', 'are', 'there', 'will', 'always', 'be', 'memes', '.']"
sadness,"['Cute', 'Malay', 'girl', 'came', 'to', 'seemy', 'room', 'for', 'rent', '-', 'sadly', 'think', 'it', 'was', 'for', 'her', 'guyfreind', 'bit', 'misleading', 'and', 'disappointing', 'LOL']"
surprise,"['EpiCentre', 'Wheelock', 'Place', ',', '250', 'units', '&', 'amp', ';', 'for', 'tourists', 'only', '.', 'Starting', 'today']"
surprise,"['aw', 'u', 'ca', ""n't"", 'let', 'me', 'in', 'on', 'the', 'secret', '!']"
surprise,"['Im', 'sorry', 'I', 'do', ""n't"", 'think', 'I', 'stick', 'out', ',', 'at', 'least', 'compared', 'to', 'what', 'I', 'used', 'to', 'look', 'like', '.']"
sadness,"['Everytime', 'I', 'send', 'an', 'email', 'to', 'my', 'coach', ',', 'I', 'feel', 'a', 'need', 'to', 'practice', '.', 'shitty', 'balls', '.', 'Lol']"
sadness,"['It', ""'s"", 'pissing', 'me', 'off', 'and', 'not', 'letting', 'me', 'follow', 'ericka']"
sadness,"['Is', 'going', 'to', 'sleep', 'not', 'peaceful', 'wanted', 'to', 'hear', 'him', 'say', 'Good', 'Night', 'but', 'that', 'did', ""n't"", 'happen', 'Good', 'Night', 'everyone', '...', '.']"
sadness,"['my', 'mums', 'trying', 'to', 'make', 'me', 'feel', 'ebtter', 'about', 'stopping', 'voting', 'adn', 'not', 'winning', 'shortstack', '.', 'i', 'almost', 'cried', '.']"
surprise,"['is', 'thinking', 'so', 'much', 'and', 'i', ""'m"", 'at', 'work']"
sadness,"['I', 'have', ""n't"", 'seen', 'Muffin', 'in', 'two', 'whole', 'days', '!']"
sadness,"['i', ""'ll"", 'miss', ""y'all"", 'back', '...', 'give', 'my', 'regards', '...']"
surprise,"['my', 'gap', 'year', 'is', 'going', 'so', 'quick']"
sadness,"['Just', 'found', 'mj', 'mouse', 'flats', 'at', 'DJs', '.', 'Of', 'course', 'there', 'are', 'none', 'left', 'in', 'my', 'size']"
surprise,"['oh', 'no', '.', '*hugs*']"
sadness,"['i', 'knoww', 'things', 'wo', ""n't"", 'be', 'the', 'samee', '&', 'lt', ';', '/3']"
sadness,"['Going', 'to', 'sleep', '.', 'Gon', 'na', 'fall', 'asleep', 'playing', 'apps', 'again', '.', 'Tmrw', 'is', 'going', 'to', 'suck']"
sadness,"['I', 'ca', ""n't"", 'believe', 'the', 'Metal', 'Gear', 'Solid', 'song', 'was', 'stolen', 'I', ""'m"", 'so', 'disappointed', 'http', ':', '//bit.ly/YKkSu']"
sadness,"['I', 'wish', 'I', 'had', 'Left', '4', 'Dead', '.', 'But', 'first', 'I', ""'d"", 'need', 'something', 'to', 'play', 'it', 'on', '...']"
sadness,"['my', 'teeth', 'and', 'head', 'hurts']"
sadness,"['I', 'HATE', 'rob', 'zombie', 'movies', '.', '&', 'amp', ';', 'the', 'smell', 'of', 'weed', '.', 'Vommmm', '.']"
sadness,"['no', 'more', 'arrested', 'development', '.', 'i', 'am', 'sad', '.']"
sadness,"['omg', 'i', 'keep', 'losing', 'followers', 'this', 'is', 'so', 'sad', 'i', 'want', '90', 'one', 'day', '...', '.thats', 'my', 'goal', ';', 'D']"
sadness,"['I', 'feel', 'so', 'deflated', '.', 'No', 'more', 'doggy', '.']"
sadness,"['I', 'just', 'had', 'to', 'empty', 'my', 'trash', 'on', 'the', 'mac', '.', 'that', 'was', 'one', 'of', 'THE', 'MOST', 'DIFFICULT', 'things', 'I', 'have', 'ever', 'done', 'in', 'my', 'life', '.', '8,000', 'pictures', 'are', 'GONE', '.']"
