Sentiment,Text
θλίψη,"['κρεβάτι', 'πονοκέφαλο', 'περιμένω', 'κλήση']"
θλίψη,"['τελετός', 'κηδείας', 'ζοφερός', 'παρασκευή']"
θλίψη,"['έπρεπε', 'κοιμηθώ', 'σκέφτομαι', 'παλιό', 'φίλο', 'θέλω', 'εσύ', 'παντρεύτηκε', 'βλασφημία', 'θέλω', 'να', 'με', '2', 'σκάνδαλο']"
θλίψη,"['η', 'αγάπη', 'μου', 'λείπει']"
θλίψη,"['λυπούμαι', 'την', 'παρασκευή']"
θλίψη,"['πρέπει', 'νικήσω', 'το', 'ηλίθιος', 'τραγούδι', 'να', 'φτάσω', 'επόμενη', 'αγενή']"
θλίψη,"['παρακολουθήσω', 'λόφου', 'λονδίνο', 'u', 'θα', 'συνειδητοποιήσω', 'tourture', 'επειδή', 'εβδομάδες', 'εβδομάδα', 'αργά', 'βλέπω']"
έκπληξη,"['τα', 'νέος']"
θλίψη,"['καταιγίδα', 'εδώ', 'ο', 'ηλεκτρισμός', 'φύγω']"
θλίψη,"['έτσι', ',', 'νυσταγμένος', 'ακόμη', 'αυτό', 'αργά', 'αδυνατώ', 'πάλι']"
θλίψη,"['είσαι', 'πεπεισμένος', 'πάντα', 'θέλω', 'σε', 'βγάζει', 'σημάδια', 'έδωσα', 'μακριά', '', 'νομίζω', 'έχασα', 'έναν', 'φίλο']"
θλίψη,"['κουρασμένος', 'νομίζω', 'θα', 'πάω', 'σίγουρος', 'πάρω', 'λοίμωξη', 'αυτί', 'κοιμάται', 'για', 'φορά']"
θλίψη,"['λυπάμαι', 'οι', 'άνθρωποι', 'αγενεί', 'σας', 'πρέπει', 'παίρνω', 'μαγεία', 'γνωρίζω', 'καλύτερα', 'το', 'να', 'είναι', 'τόσο', 'αηδιασμένοι']"
θλίψη,"['απλά', 'ότι', 'το', 'χαρτί', 'κουρασμένος', 'μισώ', 'σχολείο', 'χρόνο', 'ύπνο']"
θλίψη,"['αισθάνομαι', 'αστείο', 'δεν', 'κοιμηθώ', 'ξύπνησος', 'μαμά', 'γιατί', 'τραγουδώντας', 'δεν', 'εντυπωσίασε', 'σ']"
θλίψη,"['έχω', 'πρόβλημα', 'τη', 'φωτογραφία', 'εδώ', 'twitter', 'cant', 'δείτε', 'πρόσωπό']"
θλίψη,"['και', 'τα', 'και', 'τώρα', 'ακόμα', 'λυπηρό', 'φύγω', 'στοιχηματίζω']"
θλίψη,"['yaris', '70mpg', 'λυπηρό', 'είναι', 'διαθέσιμος', 'ηπας', 'είναι', 'φοβερό']"
θλίψη,"['θέλω', 'αγοράσω', 'το', 'σπουδαίος', 'άλμπουμ', ',', 'δυστυχώς', 'έχω', 'χρήματα', 'τον', 'παρατεταμένος', 'χρόνο']"
θλίψη,"['όλη', 'ειλικρίνεια', 'πόνο']"
θλίψη,"['εντάξω', 'επιβάτες', 'ζωντανό', 'όλος', 'νεκρός', 'απλά', 'δεν', 'το', 'ξέρω', 'το', 'τέλος', 'θα', 'κλάψω']"
θλίψη,"['κοιμισμένος', 'παραλία', 'δεν', 'έβαλα', 'αντηλιακό']"
θλίψη,"['thursday', 'εξετάσει', 'μέρα', 'τι', 'μέρα', 'τετάρτη']"
θλίψη,"['σκεφτάμαι', 'πόσο', 'ενθουσιασμένος', 'για', 'μετακινήσω', 'τότε', 'συνειδητοποίησα', 'πόσο', 'θλιβερό', 'να', 'δω', 'να', 'πηγαίνω']"
θλίψη,"['λατρεύω', 'sticks', 'του', 'έχω', 'τα', '4', 'gb', 'Αυστραλία']"
θλίψη,"['im', 'ipod', 'λοξοτομώ', 'κοιμηθώ']"
θλίψη,"['want', 'work', '11830', 'αύριο', ',', 'παίρνω', 'πληρωμένος']"
θλίψη,"['αισθάνομαι', 'θλιβερός', 'i', 'σε', 'θέση', 'παίξω', 'τα', 'παιδί', 'plurk']"
θλίψη,"['αυτές', 'αλλεργία', 'μου', 'αρέσω', 'την', 'εποχή', 'χρόνο', 'αυτού', 'δεν', 'συνηθίσω', 'αντιμετωπίζω', 'το', 'πρόβλημα']"
θλίψη,"['θέλω', 'έρθω', 'bz', 'φέτος', 'καλοκαίρι', 'τόσο', 'σίγουρο', 'μια', 'ζωή', 'δασκάλος', 'καλοκαίρι']"
θλίψη,"['εύχομαι', 'ξέρω', 'με', 'βάζω', 'έκλεψε', 'καρδιά', 'ποτέ', 'έδωσε', 'και', 'φορά', 'αρέσω', 'είναι', 'να', 'δούμε', 'έχω']"
θλίψη,"['πρώιμη', 'ευτυχισμένη', 'ημέρα', 'γέννηση', 'περίπτωση', 'δεν', 'κάνω', 'κουρασμένος', 'τη', 'θεραπεία', 'σήμερα', 'παίρνω', 'το', 'φάρμακό', 'misshu', 'αγαπώ']"
θλίψη,"['αλλεργία', 'πιπιλίζω', 'παξιμάδιος', 'πάπια', 'lt8']"
θλίψη,"['αναρωτιέται', 'τα', 'σημείο', 'κάρμα', 'μετατράπηκαν']"
θλίψη,"['δυστυχισμένος', 'αισθάνομαι', 'να', 'φωνάζω', 'γκονγκ']"
θλίψη,"['αναστενάζω', 'πηγαίνω', 'κρεβάτι', 'νιώθω']"
θλίψη,"['είμαι', 'κατάθλιψη', 'από', 'παρακολουθήσω', 'νομίζω', 'μπορείτε', 'χορέψω']"
θλίψη,"['σταυροειδής', 'αιτία', 'κολλήσω', 'αντίχειρες', 'ugh']"
θλίψη,"['μέρα', 'εργάζομαι', 'την', 'σήμερα', 'θλιβερός', 'φορά']"
θλίψη,"['εξακολουθώ', 'λείπω', 'σύζυγό', 'τον', 'θέλω', 'πραγματικά', 'σπίτι']"
θλίψη,"['λείπω', 'κουτάβι']"
έκπληξη,"['2', 'μέρα', 'του', 'μήνας', 'μένω', 'έχω', '400', 'mb', 'αριστερά', 'downloads', 'onpeak']"
θλίψη,"['παραιτηθώ', 'τα', 'παιδί', 'πίτσα', 'θα', 'αφήσω', 'να', 'fav', 'καυτά']"
θλίψη,"['yearling', 'κατοικίδιο', 'ζώο', 'πέθανε', 'λυπηρό', 'όλη', 'οικογένεί']"
θλίψη,"['μισούμε', 'αλλαγή', 'φυσικά', 'οπαδούς', 'τη', 'ζωή', 'lt3', 'και', 'εμείς', 'συναντήσαμε', 'τότε', 'πηγαίνω', 'τρομερά', 'λάθος']"
θλίψη,"['γαμώ', 'το', 'νέος', 'πόνο', 'μια', 'περίεργη', 'προειδοποίηση', 'ισχύω', 'πραγματικότητα', 'μένα', 'μπορώ', 'λάβω', 'το', 'είναι', 'δυσαρεστημένος']"
θλίψη,"['ανέβασε', 'νέος', 'μου', 'οδυνηρός', 'ιστορία', 'έναν', 'άνδρας', 'ηλικία', '80', 'ετή', 'φώναξε', 'ήθελε', 'πεθάνω', 'λυπημένο']"
θλίψη,"['είδος', 'φωτογραφία', 'αυτό', 'παρελθόν', 'ευχαριστία', 'είμαι', 'λυπημένος', 'η', 'γιαγιά', 'μέσα']"
θλίψη,"['πήρε', 'μια', 'αλλαγή', 'νιώθω', 'πραγματικά', 'δουλεύω']"
θλίψη,"['τώρα', 'έχω', 'χρήματα', 'ένα', 'τηλέφωνο']"
έκπληξη,"['είσαι', 'μπρις', 'μπορώ', 'ακούσω', 'βροντή']"
έκπληξη,"['vs', 'fatty', 'winner', 'λιπαρά', 'τρόφιμα', 'όχι', 'η', 'άρρωσ', 'χτύπησε']"
θλίψη,"['πολύ', 'κακός', 'απογοήτευση', 'red', 'να', 'λέω', 'λιγότερο']"
έκπληξη,"['ένα', 'όνειρο', 'μια', 'όμορφη', 'παραλία', 'δεν', 'υπήρχε', 'παραλία', 'ξύπνησα']"
θλίψη,"['3ware', '9650se', 'είναι', 'γρήγορο', '3x', 'x25', 'm', 'raid5', '800mhz', 'στο', 'μπορώ', 'δοκιμάσω', 'ένα', 'adaptec', '5405', '12ghz']"
έκπληξη,"['ναι', ',', 'έρθω', 'ο', 'γκαράζ', 'ρωτώ']"
θλίψη,"['εύχομαι', 'είμαι']"
θλίψη,"['παίζω', 'τα', 'μέρη', 'χωριός', 'βουντός', ',', 'να', 'χάσω', 'συνηθισμένος', 'σύντροφό']"
θλίψη,"['κακός', 'φίλος']"
θλίψη,"['υπάρχω', 'διαδίκτυο', 'χθες', 'βράδυ', 'ήταν', 'υπήρξε', 'τεράστιος', 'έκρηξη', 'τέλος', 'ένα', 'κοντινό', 'εργοστάσιο', 'φυσικός', 'αερίο', 'σε', 'κατάσταση', 'αναμονή']"
θλίψη,"['κρίμα', 'έρχομαι', 'αρνί']"
