sentiment  content
joy  This did the trick : the boys now have a more distant friendship and David is much happier . 
joy  When Anna left Inspector Aziz she was much happier . 
joy  And though as Lachlan had planned they had expected the attack in the morning they were quite joy when their lookouts reported the Macleans ' approach in the early evening . 
joy  Honestly I 'm really joy for you ! 
joy  Lesley was totally joy about it . 
joy  For once in his life Leopold must have been truly joy : his hopes and prayers for his beloved son seemed at last to have come to fruition . 
joy  She became happier more settled . 
joy  During the day her mother seemed joy at times baking trying out fresh recipes or changing yet again the curtains or crocheting new chair-backs . 
joy  They seemed joy about my victory in Germany and most of them expected me to win more races last year . " 
joy  Never before had Bodmin seen so many faces and so many joy faces all at one time ! 
joy  " She looked fondly at Anne ` s bright eyes and joy face . 
joy  Shelley looked at the joy faces of her companions and knew they wanted to be alone however sweet they were being . 
joy  A small joy man with a white beard he always wore the traditional grocers ' apron . 
joy  Pleasure can be no more than a gourmet 's appreciation for delicacies whereas a joy person can readily settle for a much simpler diet . 
joy  Normally such a joy sunny person she felt a vague disquiet as though she was changing without her wanting to . 
joy  Words bubbled in Jay 's mind with an absurdly joy smile . 
joy  But behind the strained joy smiles there will lie the awful knowledge that Alex saw the killer -- and was too young to understand what was going on . 
joy  But it was not a joy smile . 
joy  Henry Tyler would not have described her as a joy woman but afterward he could not say that she had seemed at all unwell . 
joy  She did not look like a joy woman . 
joy  All during the night over and over again she had found it absurd that she 'd ever considered herself a joy woman . 
joy  I went swimming and I was so joy I cried into the sea for three-quarters of an hour . 
joy  I 'm always joy when I 'm wearing trousers and a jacket that covers my bum ! " 
joy  However in 1878 deaf education in Greenock faced a crisis because there was no-one able to continue to teach the children and one parent was not joy about his child being taught in sign language . 
joy  Power tools coming from the hip gunslinger style or British Gas portraying the contented family enjoying the warm glow of its new central heating . 
joy  To my mind it begins so well that it could easily be mistaken for a translation of an eighth-century hermit 's verse composed in a beehive hut by a contented holy man of Old Ireland . 
joy  It is true that the wonderful advance of our people has transformed the wilderness into a home where men and women can live comfortably elegantly happily if they are of contented disposition 
joy  At that stage Sunderland were good value for the lead and Mr Crosby must have been a contented man . 
joy  He was a contented man for he had a good wife a prosperous farm in Upper Caversham some four miles from Reading market had had a good season and a financially successful day . 
joy  He 's a very contented baby a joy to his parents and big sister and today at nine weeks old ( 40+3 ) he smiled at us for the first time . 
joy  He sat looking at the fire with lowered eyelids a contented expression on his face looking like a big overfed cat . 
