Text,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Emotion
άβακας,0,0,0,0,0,0,0,1,['trust']
εγκαταλείπω,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
εγκαταλειμμένος,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
εγκατάλειψη,1,0,0,1,0,1,1,0,"['anger', 'fear', 'sadness', 'surprise']"
ηγούμενος,0,0,0,0,0,0,0,1,['trust']
απαγωγή,0,0,0,1,0,1,1,0,"['fear', 'sadness', 'surprise']"
εκτροπή,0,0,1,0,0,0,0,0,['disgust']
απεχθάνομαι,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
απεχθής,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
άθλιος,0,0,1,0,0,0,0,0,['disgust']
ασυνήθιστος,0,0,1,0,0,0,0,0,['disgust']
καταργώ,1,0,0,0,0,0,0,0,['anger']
απαίσιος,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
βδέλυγμα,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
άμβλωση,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
ανεπιτυχής,0,0,0,0,0,1,0,0,['sadness']
απότομος,0,0,0,0,0,0,1,0,['surprise']
απόστημα,0,0,0,0,0,1,0,0,['sadness']
απουσία,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
απών,0,0,0,0,0,1,0,0,['sadness']
απών,0,0,0,0,0,1,0,0,['sadness']
απαλλαγή,0,0,0,0,1,0,0,1,"['joy', 'trust']"
αφθονία,0,1,1,0,1,0,0,1,"['anticipation', 'disgust', 'joy', 'trust']"
άφθονος,0,0,0,0,1,0,0,0,['joy']
κατάχρηση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αβυσσαλέες,0,0,0,0,0,1,0,0,['sadness']
άβυσσος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
ακαδημαϊκός,0,0,0,0,0,0,0,1,['trust']
επιταχύνω,0,1,0,0,0,0,0,0,['anticipation']
ατύχημα,0,0,0,1,0,1,1,0,"['fear', 'sadness', 'surprise']"
τυχαίος,0,0,0,1,0,0,1,0,"['fear', 'surprise']"
κατά λάθος,0,0,0,0,0,0,1,0,['surprise']
χειροτονία ιππότου,0,1,0,0,1,0,1,1,"['anticipation', 'joy', 'surprise', 'trust']"
συνοδεία,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
ολοκληρώσει,0,0,0,0,1,0,0,0,['joy']
τέλειος,0,0,0,0,1,0,0,0,['joy']
συμφωνία,0,0,0,0,0,0,0,1,['trust']
λογαριασμός,0,0,0,0,0,0,0,1,['trust']
Ευθύνη,0,0,0,0,0,0,0,1,['trust']
υπεύθυνος,0,0,0,0,0,0,0,1,['trust']
λογιστής,0,0,0,0,0,0,0,1,['trust']
λογαριασμούς,0,0,0,0,0,0,0,1,['trust']
διαπιστευμένος,0,0,0,0,0,0,0,1,['trust']
ακριβής,0,0,0,0,0,0,0,1,['trust']
αθεόφοβος,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
κατηγορία,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
κατηγορούμενος,1,0,0,1,0,0,0,0,"['anger', 'fear']"
κατήγορος,1,0,0,1,0,0,0,0,"['anger', 'fear']"
κατηγορώντας,1,0,0,1,0,0,0,0,"['anger', 'fear']"
πόνος,0,0,0,0,0,1,0,0,['sadness']
φέρνω σε πέρας,0,0,0,0,1,0,0,1,"['joy', 'trust']"
κατόρθωμα,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
οδυνηρός,0,0,0,0,0,1,0,0,['sadness']
απόκτηση,0,1,0,0,0,0,0,0,['anticipation']
ακροβάτης,0,0,0,1,1,0,0,1,"['fear', 'joy', 'trust']"
δικάσιμος,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
αθροιστής,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
διευθύνσεις,0,1,0,0,0,0,0,0,['anticipation']
προσκολλημένος,0,0,0,0,0,0,0,1,['trust']
επιδικάζω,0,0,0,1,0,0,0,0,['fear']
διοικητικός,0,0,0,0,0,0,0,1,['trust']
θαυμαστός,0,0,0,0,1,0,0,1,"['joy', 'trust']"
ναύαρχος,0,0,0,0,0,0,0,1,['trust']
θαυμασμός,0,0,0,0,1,0,0,1,"['joy', 'trust']"
θαυμάζω,0,0,0,0,0,0,0,1,['trust']
αποδεκτός,0,0,0,0,0,0,0,1,['trust']
νουθεσία,0,0,0,1,0,0,0,0,['fear']
λατρευτός,0,0,0,0,1,0,0,0,['joy']
λατρεία,0,0,0,0,1,0,0,1,"['joy', 'trust']"
λατρεύω,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
ανεμοδαρμένος,0,1,0,1,0,1,0,0,"['anticipation', 'fear', 'sadness']"
μοιχεία,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
προκαταβολή,0,1,0,1,1,0,1,0,"['anticipation', 'fear', 'joy', 'surprise']"
έλευση,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
περιπέτεια,0,1,0,0,0,0,0,0,['anticipation']
αντίπαλος,1,0,0,0,0,0,0,0,['anger']
δυσμενής,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αντιξοότητα,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
συμβουλή,0,0,0,0,0,0,0,1,['trust']
ορθός,0,0,0,0,0,0,0,1,['trust']
συμβουλεύω,0,0,0,0,0,0,0,1,['trust']
συνιστάται,0,0,0,0,0,0,0,1,['trust']
σύμβουλος,0,0,0,0,0,0,0,1,['trust']
υπεράσπιση,1,1,0,0,1,0,0,1,"['anger', 'anticipation', 'joy', 'trust']"
συνήγορος,0,0,0,0,0,0,0,1,['trust']
αισθητική,0,0,0,0,1,0,0,0,['joy']
στοργή,0,0,0,0,1,0,0,1,"['joy', 'trust']"
επιβεβαιώνουμε,0,0,0,0,0,0,0,1,['trust']
καταφατικά,0,0,0,0,0,0,0,1,['trust']
βασανίζω,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
θλίψη,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
αφθονία,0,0,0,0,1,0,0,0,['joy']
προσβολή,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
φοβισμένος,0,0,0,1,0,0,0,0,['fear']
συνέπεια,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
NO TRANSLATION,0,0,0,1,0,0,0,1,"['fear', 'trust']"
επιδεινωθεί,1,0,0,0,0,0,0,0,['anger']
επιδεινώνοντας,1,0,0,0,0,1,0,0,"['anger', 'sadness']"
επιδείνωση,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
επίθεση,1,0,0,1,0,0,0,0,"['anger', 'fear']"
επιθετικός,1,0,0,1,0,0,0,0,"['anger', 'fear']"
επιδρομέας,1,0,0,1,0,0,0,0,"['anger', 'fear']"
εμβρόντητος,0,0,1,1,0,0,1,0,"['disgust', 'fear', 'surprise']"
ταραγμένος,1,0,0,0,0,0,0,0,['anger']
ανακίνηση,1,0,0,0,0,0,0,0,['anger']
αγωνιώδης,0,0,0,1,0,0,0,0,['fear']
αγωνία,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
ευχάριστος,0,0,0,0,0,0,0,1,['trust']
σύμφωνος,0,0,0,0,0,0,0,1,['trust']
συμφωνώ,0,0,0,0,0,0,0,1,['trust']
συμφωνία,0,0,0,0,0,0,0,1,['trust']
