sentiment,Content
sadness,Layin n bed with a headache  ughhhh...waitin on your call...
sadness,Funeral ceremony...gloomy friday...
sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
sadness, Charlene my love. I miss you
sadness, I'm sorry  at least it's Friday?
sadness,Ugh! I have to beat this stupid song to get to the next  rude!
sadness, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
surprise,Got the news
sadness,The storm is here and the electricity is gone
sadness,So sleepy again and it's not even that late. I fail once again.
sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
sadness,"  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
sadness, yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
sadness," Aww  Onward and upwards now, yay! Still sad to leave I bet."
sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
sadness,  in all honesty...pain   blech.
sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
sadness,   i fell asleep on the beach and didn't put on enough sunscreen  lol
sadness, ohh thursday i have exams.. all day  what about wednesday ?
sadness,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
sadness, I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
sadness, hiii im on my ipod...i cant fall asleep
sadness,dont wanna work 11-830 tomorrow  but i get paid
sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
sadness, i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
sadness, early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
sadness,Allergies suck ducks nuts.     &lt;=====8
sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
sadness,Is miserable  i feel like im gona cry  sux!
sadness,*sigh* I'm going to bed... I just don't feel right anymore...
sadness,Now I am depressed after watching so you think you can dance
sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
sadness,"Last day working for the Uni today, sad times"
sadness,is still missing her husband.    I really want him home.
sadness,I miss my puppy
surprise,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
sadness, I've given up on pizza - kids would never let me have my fav  (the hot ones)
sadness, yearling in pet home died... very sad for their whole family
sadness," We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
sadness,Took a shift tomorrow.    I don't really feel like working right now.
sadness,but now i have no money for a phone
surprise, where are you? In Bris? I can't hear any thunder
surprise,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
sadness,Too bad the Red Devils.. disappointing to say the least
surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
sadness," Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
surprise,when da heck will the garage man get here I ask you.. WHEN..
sadness, daaammmnnnnn I do wish I was there.
sadness, I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
sadness,is a bad friend
sadness," No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
sadness, - Still a pity it comes with no lamb though
sadness,  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
sadness,Had to cancel wow for now
sadness, But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
sadness,Up late with nothin 2 do.....
sadness,sometimes i wish things could go back to the way they were the beginning of last summer
sadness," I feel the same way, but I guess no matter where you are there will always be memes."
sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
surprise," EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
surprise, aw u can't let me in on the secret!
surprise," Im sorry  I don't think I stick out, at least compared to what I used to look like."
sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
sadness,It's pissing me off and not letting me follow ericka
sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
surprise,is thinking so much and i'm at work
sadness,I haven't seen Muffin in two whole days!
sadness, i'll miss y'all back... give  my regards...
surprise,my gap year is going so quick
sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
surprise, oh no.  *hugs*
sadness, i knoww  things won't be the samee &lt;/3
sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
sadness,  I wish I had Left 4 Dead. But first I'd need something to play it on...
sadness,my teeth and head hurts
sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
sadness,no more arrested development. i am sad.
sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
sadness,I feel so deflated. No more doggy.
sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
sadness,Fuuudge. Movie store is closed
sadness,ALO is so sad and quiet and empty tonight
sadness, Aw where are you headed to? i just cancelled my trip to Aussie
sadness,Sad that Christian Lacroix had to file bankruptcy
sadness,I dont feel good AT ALL. fuckkk
sadness,Have to go to the dreaded DMV tomorrow
sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
sadness,God I just want to sleep.
sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
sadness, But but I dun wanna
sadness, damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
sadness," dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
sadness,feels sick to my stomach and idkk whyy
surprise, - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
sadness," Um, I was thrown from  van yesterday and had to be taken to the ER"
sadness,  The link doesn't work
surprise, ur supposed to be in BK tho
surprise,Oh no!  Nighty night.
sadness,my stupid tooooth hurts
sadness, my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
sadness, heehee. i love you! i am tired.
sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
sadness,  being in your room makes me sad.
sadness, oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
surprise, nope.  they are all sleeping cuz they live on the east coast.
sadness, eww. dislike
sadness," sorry bout the cat,"
sadness,missed iron chef
sadness, the DS version sucks
sadness,what a bad day
surprise,omg i didnt tweet all that much today.... *sadness*
surprise, Not really sleepy ...bored is the right word ... again not much work
sadness,went to the cd store to search for the cd. But
sadness,I miss my mom..  &quot;May angels lead you in&quot;
sadness, i feel the same way every day
sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
sadness,So have a headache right now and it sucks
sadness," Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
sadness,misses my baby.
sadness,I'm poorly and can't sleep
sadness,has work tom.
sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
anger,fuckin'm transtelecom
surprise,  tee we beefin....what was u supposed to do before leavin????
sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
sadness, that sucks!
sadness,Having Fever  dont feel to work
sadness,missing  days can't pass quick enough
sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
sadness,Missing you all deeply
sadness," sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
sadness,I don't want her to leave..
anger,Working   But it's Fridaaaayyyyy
sadness," lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
surprise,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
sadness, I wish I was there
sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
sadness,morning again! I hate mornings. So offensive!
sadness,bed bed bed  do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
sadness, waah. We're no longer your peeps.
sadness, LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
surprise,Extremly deep
sadness, I'm sorry about your bad driving experiences.
sadness,Already misses 
surprise, there's relisting fees when you don't complete a sale?  that sucks!
sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
surprise, Me too.  Wonder if Mnet will show it...
sadness,thank you  (: cant wait!!!! ummm btw ima crash still sick
sadness,"First my work computer, now my home laptop is fucked."
sadness, It's depressing I'm stuck inside all day
sadness,i hate being sick. i miss   and 
sadness,"Woke Up,I Wanna Stay In My bed"
sadness,Upsidedown tomato plants died!
sadness, Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
surprise,I cant use my blackberry today. This sucks.
sadness, why do you hate me!?
sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
sadness,#jonaswebcast i just missed it!!!!
sadness,So exhausted..can't sleep. I don't like these nights
sadness,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
surprise,lol i cant drink!!
surprise,"if bill compton has wii, why can't he have twitter?"
sadness, sorry to hear that.
sadness,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
anger,Packing  I don't like it..
sadness,finished a whole box of ice cream
sadness, btw I am not a wimp
sadness, i can't add you on myspace girly  it asks for a last name and email
sadness,I don't wanna go back to work   sleepy time.
sadness,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
surprise,  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !
surprise,Just saw a fox!  as i was getting on the freeway... I hope it goes home
surprise,recapping on britains got talent. britain seems more talented than america
sadness," Morning John, yes I do, however I have a diary clash and sadly can't attend!"
sadness,I miss my friend
sadness,Yea i just saw this really sad commercial
sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
sadness,Hates having to sleep alone
sadness,I loved johnny carson now I'm going to hate seeing jay leno go
sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
sadness, ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
surprise,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.
sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
sadness, I kinda wish I went with you now!.. I can't fall asleep
sadness, Not yet... sorry
sadness,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
sadness,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
sadness,tummy ache.
surprise,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?
sadness," I'm sorry, Andrew. I wish there was something I could do..."
sadness,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
sadness," i'm not at chaseton's either  please don't die, my heart will be really sad"
surprise," Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind."
surprise,aku kbangun gara2 mimpi  very bad dream
sadness,"I can't sleep, this is so darn frustrating."
sadness, just one of those days where loneliness creeps up on you slaps you in the face.
sadness,RIP kelly  fucccccck
sadness,Not feeling too good
sadness,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out.
sadness,its funny. i'm kinda sad on my last day
sadness,Jenny fell asleep and didn't come over
sadness,Wishes you had teased me with movie night
sadness, I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
sadness, i love it to.. but i knw there gna cut stuff out on tv
sadness, I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
sadness,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
sadness,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
sadness,"off to work now, finish about 9pm  booooo."
sadness,Wishes you hadn't teased me with movie night
sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
sadness,should be sleeping.  lost my voice a couple day ago.
sadness,I was too sleepy earlier and i didnt get to see matt
sadness,I just realized I spelled &quot;adorable&quot; wrong when I tweeted  she must hate me now
sadness,how to have a glowing face? my complexion is always so pale
sadness,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
surprise,So wish the Carlton game was on live  stupid channel 7 lol.
sadness,oh no my tweetdeck is malfunctioning :O il have web will its fixd
sadness," ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
sadness, Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
sadness,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck
sadness,Annnnnnddd another one bites the dust
sadness,"on my 42nd written fuck.. i get less ideas every day, and every day"
sadness, I wish I could have time for my xbox  project all tied
surprise,Wow. That hurt way worse than i thought it would.
sadness,And trash repops.  Getting it tomorrow night I suppose.
sadness,feels like crap whenever she lays down.  I hate heartburn &amp; backaches!
sadness, I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
sadness, NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
