Tweet,Greek_Words,Lemmatized_Tokens
Κατακραυγή στην Γαλλία: Αφγανός μετανάστης στο σκαμνί για σεξουαλικά εγκλήματα εναντίον 5χρονου κοριτσιού,Κατακραυγή Γαλλία Αφγανός μετανάστης σκαμνί σεξουαλικά εγκλήματα 5 χρονου κοριτσιού,"['κατακραυγή', 'Γαλλία', 'αφγανός', 'μετανάστης', 'σκαμνί', 'σεξουαλικά', 'εγκλήματο', '5', 'χρονος', 'κοριτσί']"
"Παραιτήσανε με το έτσι θέλω τον 80χρονο διοικητή του Νοσοκομείου Καρδίτσας. Αν ο άνθρωπος απηυδήσει μ' όλα αυτά και τα μαζέψει για εξωτερικό ως οικονομικός μετανάστης, μετά θα σκούζετε για το συνεχιζόμενο μπρέιν ντρέιν",Παραιτήσανε θέλω 80 χρονο διοικητή Νοσοκομείου Καρδίτσας άνθρωπος απηυδήσει αυτά μαζέψει εξωτερικό οικονομικός μετανάστης σκούζετε συνεχιζόμενο μπρέιν ντρέιν,"['παραιτήσανε', 'θέλω', '80', 'χρονος', 'διοικητή', 'νοσοκομείο', 'Καρδίτσας', 'άνθρωπος', 'απηυδήσω', 'αυτά', 'μαζέψει', 'εξωτερικό', 'οικονομικός', 'μετανάστης', 'σκούζω', 'συνεχιζόμενος', 'μπρέιν', 'ντρέιν']"
"@anatropi_news @JiaManie Κρίμα και είχε το μέλλον μπροστά του, ένας ακόμα μετανάστης θα φύγει να βρει την τύχη του !",Κρίμα είχε μέλλον μπροστά ένας μετανάστης φύγει βρει τύχη,"['κρίμα', 'έχω', 'μέλλον', 'μπροστά', 'ένας', 'μετανάστης', 'φύγω', 'βρω', 'τύχη']"
"Είσαι καρκινοπαθής, μετανάστης και δεν έχεις ΑΜΚΑ; Εδώ είναι νοσοκομείο, να πας αλλού…",καρκινοπαθής μετανάστης δεν ΑΜΚΑ είναι νοσοκομείο πας αλλού…,"['καρκινοπαθής', 'μετανάστης', 'δεν', 'αμκα', 'είναι', 'νοσοκομείο', 'πας', 'αλλού', '…']"
@kyrakrts Κι άλλος υποψήφιος μετανάστης? Δεν θα το αντέξω αυτό!,υποψήφιος μετανάστης αντέξω,"['υποψήφιος', 'μετανάστης', 'αντέξω']"
|είμαι το βάσανο του Σύριου πρόσφυγα που σπούδασε για μία καλύτερη ζωή,βάσανο Σύριου πρόσφυγα σπούδασε μία καλύτερη ζωή,"['βάσανο', 'Σύριου', 'πρόσφυγα', 'σπούδασε', 'μία', 'καλός', 'ζωή']"
κι έγινε ράφτης στον νέο κόσμο για να σωθεί,ράφτης νέο κόσμο σωθεί,"['ράφτης', 'νέος', 'κόσμο', 'σωθώ']"
ο μαύρος μετανάστης της κυψέλης απ' την ακτή ελαφαντοστού που του κλέβουν κάθε ανάπαυλα χαμόγελου,μαύρος μετανάστης κυψέλης την ακτή ελαφαντοστού του κλέβουν ανάπαυλα χαμόγελου,"['μαύρος', 'μετανάστης', 'κυψέλη', 'την', 'ακτός', 'ελαφαντοστός', 'του', 'κλέβω', 'ανάπαυλος', 'χαμόγελο']"
Χωρίς τέλος οι προσφυγικές ροές στα νησιά - Έφτασαν σχεδόν 2.800 άτομα σε μία εβδομάδα  #Προσφυγικό #Αιγαίο #νησιά,τέλος προσφυγικές ροές νησιά Έφτασαν 2800 άτομα μία εβδομάδα Προσφυγικό Αιγαίο νησιά,"['τέλος', 'προσφυγικός', 'ροός', 'νησί', 'έφτασαν', '2800', 'άτομο', 'μία', 'εβδομάδα', 'προσφυγικό', 'Αιγαίο', 'νησί']"
"Κατά συνέπεια για πρώτη φορά μετά τη Μεταπολίτευση θα πάμε στις επόμενες εκλογές με θέμα αν θέλουμε η Ελλάδα να είναι κράτος Ελλήνων ή θέλουμε να επιστρέψουμε στο πολυπολιτισμικό μοντέλο, α λα Οθωμανική Αυτοκρατορία. 😂🤣😂🤣😂🤣",συνέπεια πρώτη φορά Μεταπολίτευση πάμε επόμενες εκλογές θέμα θέλουμε Ελλάδα είναι κράτος Ελλήνων θέλουμε επιστρέψουμε πολυπολιτισμικό μοντέλο λα Οθωμανική Αυτοκρατορία the with rolling the laughing,"['συνέπεια', 'πρώτη', 'φορά', 'μεταπολίτευση', 'πηγαίνω', 'επόμενες', 'εκλογές', 'θέμα', 'θέλω', 'Ελλάδα', 'είναι', 'κράτος', 'Ελλήνων', 'θέλω', 'επιστρέψω', 'πολυπολιτισμικό', 'μοντέλο', 'λα', 'οθωμανικός', 'αυτοκρατορία', 'the', 'with', 'rolling', 'the', 'laughing']"
